Tile_1: 
λ(nm)	T
389.09	0.950096
379.11	0.950096
369.133	0.950096
359.166	0.950095
349.181	0.950095
339.204	0.950094
329.229	0.950093
319.255	0.950092
309.278	0.950091
299.304	0.95009
289.322	0.950088
279.346	0.950087
269.371	0.950085
259.396	0.950082
249.418	0.950079
239.44	0.950075
229.465	0.950071
219.486	0.950065
209.51	0.950058
199.534	0.950049

Tile_12: 
λ(nm)	T
897.89	0.9763
887.901	0.9763
877.945	0.9763
867.966	0.9763
857.974	0.9763
848.034	0.9763
838.039	0.9763
828.054	0.9763
818.088	0.9763
808.095	0.9763
798.137	0.9763
788.171	0.9763
778.205	0.9763
768.202	0.9763
758.22	0.9763
748.269	0.9763
738.266	0.9763
728.313	0.9763
718.333	0.9763
708.338	0.9763
698.381	0.9763
688.394	0.9763
678.427	0.9763
668.457	0.9763
658.459	0.976299
648.484	0.976299
638.51	0.976299
628.518	0.976299
618.556	0.976299
608.576	0.976299
598.593	0.976299
588.625	0.976299
578.658	0.976299
568.683	0.976299
558.692	0.976299
548.73	0.976299
538.742	0.976299
528.771	0.976299
518.792	0.976299
508.807	0.976299
498.836	0.976298
488.861	0.976298
478.888	0.976298
468.905	0.976298
458.921	0.976298
448.945	0.976298
438.973	0.976297
429.002	0.976297
419.019	0.976297
409.044	0.976296
399.069	0.976296
389.09	0.976296
379.11	0.976295
369.133	0.976295
359.166	0.976294
349.181	0.976293
339.204	0.976292
329.229	0.976291
319.255	0.97629
309.278	0.976289
299.304	0.976287
289.322	0.976286
279.346	0.976284
269.371	0.976281
259.396	0.976278
249.418	0.976274
239.44	0.976269
229.465	0.976264
219.486	0.976257
209.51	0.976248
199.534	0.976237

Tile_13: 
λ(nm)	T
897.89	0.9651
887.901	0.9651
877.945	0.9651
867.966	0.9651
857.974	0.9651
848.034	0.9651
838.039	0.9651
828.054	0.9651
818.088	0.9651
808.095	0.9651
798.137	0.9651
788.171	0.9651
778.205	0.9651
768.202	0.9651
758.22	0.9651
748.269	0.9651
738.266	0.9651
728.313	0.9651
718.333	0.9651
708.338	0.9651
698.381	0.9651
688.394	0.9651
678.427	0.9651
668.457	0.9651
658.459	0.9651
648.484	0.9651
638.51	0.9651
628.518	0.965099
618.556	0.965099
608.576	0.965099
598.593	0.965099
588.625	0.965099
578.658	0.965099
568.683	0.965099
558.692	0.965099
548.73	0.965099
538.742	0.965099
528.771	0.965099
518.792	0.965099
508.807	0.965099
498.836	0.965099
488.861	0.965099
478.888	0.965098
468.905	0.965098
458.921	0.965098
448.945	0.965098
438.973	0.965098
429.002	0.965098
419.019	0.965097
409.044	0.965097
399.069	0.965097
389.09	0.965096
379.11	0.965096
369.133	0.965096
359.166	0.965095
349.181	0.965095
339.204	0.965094
329.229	0.965093
319.255	0.965092
309.278	0.965091
299.304	0.96509
289.322	0.965088
279.346	0.965087
269.371	0.965085
259.396	0.965082
249.418	0.965079
239.44	0.965075
229.465	0.965071
219.486	0.965065
209.51	0.965058
199.534	0.965049

Tile_14: 
λ(nm)	T
897.89	0.9796
887.901	0.9796
877.945	0.9796
867.966	0.9796
857.974	0.9796
848.034	0.9796
838.039	0.9796
828.054	0.9796
818.088	0.9796
808.095	0.9796
798.137	0.9796
788.171	0.9796
778.205	0.9796
768.202	0.9796
758.22	0.9796
748.269	0.9796
738.266	0.9796
728.313	0.9796
718.333	0.9796
708.338	0.9796
698.381	0.9796
688.394	0.9796
678.427	0.9796
668.457	0.9796
658.459	0.979599
648.484	0.979599
638.51	0.979599
628.518	0.979599
618.556	0.979599
608.576	0.979599
598.593	0.979599
588.625	0.979599
578.658	0.979599
568.683	0.979599
558.692	0.979599
548.73	0.979599
538.742	0.979599
528.771	0.979599
518.792	0.979599
508.807	0.979599
498.836	0.979598
488.861	0.979598
478.888	0.979598
468.905	0.979598
458.921	0.979598
448.945	0.979598
438.973	0.979597
429.002	0.979597
419.019	0.979597
409.044	0.979597
399.069	0.979596
389.09	0.979596
379.11	0.979595
369.133	0.979595
359.166	0.979594
349.181	0.979594
339.204	0.979593
329.229	0.979592
319.255	0.979591
309.278	0.97959
299.304	0.979588
289.322	0.979586
279.346	0.979584
269.371	0.979582
259.396	0.979579
249.418	0.979575
239.44	0.979571
229.465	0.979566
